Address,City,Price,Lot size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden
Spechtenkamp 394,Maarssen,409000,104.0,1984,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin
Tsjerkeleane 1,Lytsewierrum,500000,318.0,1900,Bestaande bouw,"Woonboerderij, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,E,"Aan rustige weg, aan water, beschutte ligging, buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom
Nieuwendamstraat 12,Zaandam,395000,102.0,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een vliering,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Arthur van Schendelstraat 545,Utrecht,469000,78.0,1991,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,"Aan rustige weg, in centrum en in woonwijk",
Gabriëlstraat 34,Arnhem,949000,181.0,1954,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Tuin rondom
Frans den Hollanderlaan 2,Goes,Prijs op aanvraag,445.0,1919,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak,9 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",A,In centrum en vrij uitzicht,Tuin rondom
von Bönninghausenlaan 12,Lisse,629000,164.0,1935,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin
Nolenshof 6,Den Bosch,389000,105.0,1989,Bestaande bouw,"Bungalow, geschakelde 2-onder-1-kapwoning (semi-bungalow)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Windroosplein 84,Amsterdam,395000,50.0,1989,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,C,"Aan water, in centrum en vrij uitzicht",
Jan Binneslaan 15,Surhuisterveen,310000,113.0,1961,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan drukke weg, in centrum en in woonwijk","Achtertuin, voortuin en zijtuin"
Wallestein 81,Loenen aan de Vecht,449000,124.0,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Marnixplein 19,Vlissingen,350000,137.0,1912,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,"Aan park, aan rustige weg en in woonwijk",Achtertuin
van Haestrechtstraat 3 a-c,Kaatsheuvel,699000,179.0,1939,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Samengesteld dak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,B,Aan rustige weg en in woonwijk,Zijtuin
Dorpsweg 46 A,Schellinkhout,795000,203.0,1890,Bestaande bouw,"Woonboerderij, vrijstaande woning",Tentdak bedekt met riet,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,D,Landelijk gelegen en vrij uitzicht,Achtertuin en voortuin
Lijsterstraat 125,Enschede,450000,129.0,1994,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,A,"Aan bosrand, beschutte ligging en in woonwijk",Achtertuin en voortuin
Leemkuilseweg 37,Wehl,275000,112.0,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"In woonwijk, landelijk gelegen en vrij uitzicht",Achtertuin en voortuin
Hofstraat 52,Honselersdijk,350000,99.0,1910,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,E,Aan rustige weg en in centrum,Patio/atrium
Ien Dalessingel 283,Zutphen,325000,132.0,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin
Grebbestraat 17,Beverwijk,350000,79.0,1955,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin
Wingerd 10 a,Beverwijk,489500,142.0,1977,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
J. van Zantenstraat 18,Beusichem,375000,124.0,2002,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Jacob Marisstraat 3,Heemskerk,369500,78.0,1964,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in centrum,Achtertuin en voortuin
Strijpwetering 9,Rijswijk (ZH),895000,199.0,1933,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,E,"Aan rustige weg, aan vaarwater, aan water en in woonwijk",Tuin rondom
Schumannstraat 16,Nijverdal,275000,111.0,1973,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Mendelssohnplein 27 A,Vlaardingen,237500,74.0,1949,Bestaande bouw,,Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,G,In woonwijk,Achtertuin
De Hilde 23,Borger,359000,98.0,1989,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Aan rustige weg, beschutte ligging, in woonwijk en landelijk gelegen","Achtertuin, voortuin, zijtuin en zonneterras"
Arnold Spoelplein 93,Den Haag,425000,121.0,1933,Bestaande bouw,,,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,A,In woonwijk,Achtertuin
Stoelmatter 2,Alphen aan den Rijn,400000,123.0,1981,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan park, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Brountslaan 3,Sittard,535000,155.0,1974,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,Aan park en aan rustige weg,Achtertuin en patio/atrium
Olivier Bruyneelstraat 11 A,Almere,635000,139.0,2017,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Bethlehemstraat 76,Roermond,197500,50.0,1987,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,A,In centrum,
Jan van Arkelstraat 12,Kampen,350000,135.0,1938,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk,Achtertuin en voortuin
St. Janskerkstraat 44 a,Arnhem,435000,109.0,1902,Bestaande bouw,,Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",
Parklaan 26,Sassenheim,550000,143.0,1953,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Vrij uitzicht,Achtertuin en voortuin
Loseweg 351 *,Apeldoorn,375000,125.0,1974,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,"Aan bosrand, aan park, aan rustige weg, in woonwijk en vrij uitzicht",
De Genestetstraat 21,Enschede,388000,116.0,2008,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin
Priamoslaan 27,Enschede,350000,93.0,1998,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Wingerd 24,Beverwijk,485000,124.0,1968,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,"Achtertuin, voortuin en zijtuin"
Barbeel 10,Tiel,365000,112.0,2000,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin
Spaarndammerplantsoen 18,Amsterdam,539000,68.0,1938,Bestaande bouw,,Samengesteld dak,3 kamers (2 slaapkamers),1 badkamer,1 woonlaag,C,"Aan park, aan rustige weg, beschutte ligging en vrij uitzicht",
Rodingsveen 118,'s-Heerenberg,249000,117.0,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin
Almarestraat 44,Bunschoten-Spakenburg,395000,104.0,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin
Bertrand Russellstraat 14 +PP,Amsterdam,850000,135.0,1991,Bestaande bouw,,Dwarskap,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk",
Biotoop 5,Zeewolde,375000,121.0,1994,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Tuinboog 16,Barneveld,375000,106.0,2001,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin
Maarten Lutherweg 68,Amstelveen,365000,75.0,1960,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,"Aan park, beschutte ligging, in woonwijk en vrij uitzicht",
Burg van Leentstraat 26,Grubbenvorst,295000,121.0,1972,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin
Sumatrastraat 111 C,Amsterdam,500000,75.0,1983,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,Aan rustige weg en in woonwijk,
Hoofdweg 26,Kolham,400000,144.0,1933,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,D,Vrij uitzicht,Tuin rondom
Van Wassenaer Obdamlaan 8,Wassenaar,529000,141.0,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Amstelvlietstraat 277,Amsterdam,1050000,140.0,2013,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,,Zonneterras
Ernst Casimirstraat 11,Zoetermeer,425000,144.0,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin
Ds. Bennink Boltstraat 26,Zwammerdam,350000,118.0,1984,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Jelle Plantingstraat 120,Drachten,398000,133.0,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,3 woonlagen,A,"Aan rustige weg, aan vaarwater en in woonwijk",Achtertuin
William Bragghof 17,Almere,542500,134.0,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Klinckemalaan 9,Zuidhorn,539000,148.0,1924,Bestaande bouw,"Herenhuis, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,"Aan drukke weg, aan rustige weg, beschutte ligging, in centrum en in woonwijk","Achtertuin, tuin rondom, voortuin, zijtuin en zonneterras"
Akeleistraat 17,Den Bosch,347500,85.0,1985,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer,1 woonlaag,B,In woonwijk,
Kolkweg 1,Laag Zuthem,Prijs op aanvraag,310.0,1982,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met riet,10 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,C,"Aan water, beschutte ligging, in bosrijke omgeving en landelijk gelegen",Tuin rondom
Troelstralaan 253 B,Amsterdam,299000,44.0,2015,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer,1 woonlaag,A,In woonwijk,
Mercuriusstraat 27,Oudorp,529000,123.0,1971,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin"
Voorstraat 5 B,Den Bommel,225000,57.0,2023,Bestaande bouw,,Samengesteld dak bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,3 woonlagen,A++,"Beschutte ligging, in centrum en in woonwijk",Zonneterras
Wilgendreef 10,Sterksel,825000,187.0,2021,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met riet,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A+++,"Aan bosrand, aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin"
Carel Willinkgracht 159,Diemen,400000,60.0,2020,Bestaande bouw,,,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,In woonwijk,
Prof. Asserlaan 12,Baarn,525000,115.0,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin
Nieuwe Oostersestraat 26,Middelburg,219000,80.0,1938,Bestaande bouw,"Eengezinswoning, tussenwoning",Mansarde dak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,In woonwijk,Achtertuin
't Slotje 71,Wijchen,275000,81.0,2009,Bestaande bouw,,,3 kamers (2 slaapkamers),1 badkamer,2 woonlagen,A,Aan rustige weg en in woonwijk,
Marshallstraat 46,Zetten,469000,146.0,1979,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin"
Borculoseweg 12,Eibergen,498000,162.0,1907,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,B,In woonwijk,"Achtertuin, voortuin en zijtuin"
Helperzoom 297,Groningen,259000,80.0,1968,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,Aan rustige weg en in woonwijk,
Hoge Ham 46 n,Dongen,259000,60.0,2008,Bestaande bouw,,,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,1 woonlaag,A,In centrum,
Westerkade 11,Gouda,250000,69.0,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,E,In woonwijk,Achtertuin
Bottalijn 62,Zoetermeer,400000,111.0,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Oranjeboomstraat 123,Haarlem,435000,82.0,1890,Bestaande bouw,"Eengezinswoning, hoekwoning",Mansarde dak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In woonwijk,
Dirk Hartoghstraat 10,IJmuiden,379000,121.0,1929,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Makkumplein 29,Tilburg,615000,156.0,1997,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Tentdak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,C,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Poggenbeekstraat 6,Arnhem,700000,150.0,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin
Daal en Bergselaan 44,Den Haag,320000,91.0,1957,Bestaande bouw,,Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,E,In woonwijk en vrij uitzicht,
Waarden 22,Leusden,469000,115.0,1975,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Jeroen Boschstraat 11,Breda,450000,82.0,1938,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Maria Stuartstraat 5,Eindhoven,545000,126.0,1933,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,"Aan rustige weg, in centrum en in woonwijk",Achtertuin
Veenhof 2231,Wijchen,495000,100.0,1896,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,G,Beschutte ligging en vrij uitzicht,Tuin rondom
H.B. Blijdensteinlaan 74,Enschede,565000,141.0,1923,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer,3 woonlagen,D,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin"
De Heurne 21,Hengelo (GE),675000,162.0,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Henri Tijssenstraat 52,Roermond,450000,145.0,1955,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,D,In woonwijk,Achtertuin
Ampèrestraat 5,Den Haag,325000,80.0,1911,Bestaande bouw,,,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,G,"Aan rustige weg, in woonwijk en vrij uitzicht",Zonneterras
Westermark 70,Laren (GE),379500,134.0,2007,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+,"Aan park, aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin
IJsselweg 6 B,Terborg,300000,107.0,1963,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin
Dassenburcht 46,Vleuten,695000,159.0,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin
C.A. van Zwietenstraat 2,Ter Aar,695000,167.0,1999,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, aan water, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Fisselerstraat 1,Hasselt,315000,112.0,1957,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,B,In woonwijk,"Achtertuin, voortuin en zijtuin"
Burgemeester De Kempenaerstraat 12,Voorschoten,595000,122.0,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Arendshorst 69,Honselersdijk,650000,141.0,2005,Bestaande bouw,,Samengesteld dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,5 woonlagen,B,In woonwijk en vrij uitzicht,Tuin rondom en zonneterras
Willem Kesstraat 36,Hengelo (OV),450000,170.0,1979,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Händelstraat 81,Heemskerk,350000,102.0,1958,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In centrum en in woonwijk,Achtertuin
Schoolplein 20,Roelofarendsveen,425000,104.0,2013,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer,3 woonlagen,A,"In centrum, in woonwijk en vrij uitzicht",Zonneterras
Francisca Hoeve 20,Gouda,350000,106.0,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin
Kerkstraat 13,Panningen,379500,180.0,1955,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,9 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,F,In centrum,Achtertuin
Populierenstraat 49,Boven-Leeuwen,475000,135.0,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Beschutte ligging en in woonwijk,Tuin rondom
Janssenstraat 39,Helmond,450000,135.0,1991,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht",Achtertuin en voortuin
Bouwstraat 25,Ommen,250000,79.0,2022,Bestaande bouw,,Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer,1 woonlaag,F,In centrum,
