Address,City,Price,Lot size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden
Van Boetzelaerlaan 310,Den Haag,1595000,198.0,1919,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 3 aparte toiletten,4 woonlagen,A+++,In centrum en in woonwijk,Achtertuin
Veldbeemd 14,Meppel,529500,144.0,2021,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,A,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin"
Dahliastraat 1 c,Sint-Oedenrode,575000,186.0,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin"
Rijksstraatweg 204,Teuge,495000,133.0,1969,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,"Aan drukke weg, aan rustige weg, open ligging en vrij uitzicht",Tuin rondom
Nieuwe Bussummerweg 84,Huizen,1095000,160.0,1924,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen en een kelder,B,,"Achtertuin, voortuin, zijtuin en zonneterras"
Kievitstraat 13,Hulst,539000,202.0,1975,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Oer de Feart 32,Joure,495000,169.0,2003,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan water en in woonwijk,"Achtertuin, voortuin en zijtuin"
Randmeersingel 3,Amsterdam,1195000,216.0,2020,Bestaande bouw,"Villa, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),4 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Achtertuin
Dokter van Peltlaan 71,Bergen (NH),1885000,221.0,1979,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in centrum,Tuin rondom
Zuidweg 2,Zonnemaire,275000,79.0,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg,Achtertuin
